序号,发票代码,发票号码,数电发票号码,销方识别号,销方名称,购方识别号,购买方名称,开票日期,税收分类编码,特定业务类型,货物或应税劳务名称,规格型号,单位,数量,单价,金额,税率,税额,价税合计,发票来源,发票票种,发票状态,是否正数发票,发票风险等级,开票人,备注,币种,外币金额,汇率,方向,购方税号,销方税号,发票类型,_source
41,,,26322000000646786966,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-26 10:56:04,1090505010000000000,,*移动通信设备*智能手机,Wildfire E5,台,300,278.34048,83502.14,0%,0.0,83502.14,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202508-001(4)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 11880、汇率：7.0288 出口报关单号：534520260000008269,USD,11880.0,7.0288,out,,,,
42,,,26322000000646478791,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-26 10:51:20,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Elite,台,612,609.39696,372950.94,0%,0.0,372950.94,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-008(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 105132.4、汇率：7.0288 出口报关单号：534520260000008417,USD,105132.4,7.0288,out,,,,
43,,,26322000000646478791,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-26 10:51:20,1090505010000000000,,*移动通信设备*机模,Wildfire E7 Elite,台,100,57.63616,5763.62,0%,0.0,5763.62,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-008(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 105132.4、汇率：7.0288 出口报关单号：534520260000008417,USD,105132.4,7.0288,out,,,,
44,,,26322000000646478791,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-26 10:51:20,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Life,台,1020,344.4112,351299.42,0%,0.0,351299.42,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-008(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 105132.4、汇率：7.0288 出口报关单号：534520260000008417,USD,105132.4,7.0288,out,,,,
45,,,26322000000646478791,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-26 10:51:20,1090504040000000000,,*移动通信设备*机模,Wildfire E7 Life,台,200,44.703168,8940.63,0%,0.0,8940.63,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202510-008(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 105132.4、汇率：7.0288 出口报关单号：534520260000008417,USD,105132.4,7.0288,out,,,,
46,,,26322000000646458601,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-26 10:47:02,1090505010000000000,,*移动通信设备*智能手机,Wildfire E5,台,200,315.733696,63146.74,0%,0.0,63146.74,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202508-001(2)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 24824、汇率：7.0288 出口报关单号：534520260000046437,USD,24824.0,7.0288,out,,,,
47,,,26322000000646458601,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-26 10:47:02,1090505010000000000,,*移动通信设备*智能手机,Wildfire E5,台,400,278.34048,111336.19,0%,0.0,111336.19,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202508-001(2)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 24824、汇率：7.0288 出口报关单号：534520260000046437,USD,24824.0,7.0288,out,,,,
48,,,26322000000647165806,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-26 10:43:48,1090505010000000000,,*移动通信设备*智能手机,Wildfire E5,台,180,315.733722222222,56832.07,0%,0.0,56832.07,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202508-001(3)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 8085.6、汇率：7.0288 出口报关单号：534520260000046468,USD,8085.6,7.0288,out,,,,
49,,,26322000000642541966,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-26 10:39:51,1090505010000000000,,*移动通信设备*智能手机,Wildfire E5,台,-180,315.47316,-56785.17,0%,0.0,-56785.17,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：26322000000551342401 红字发票信息确认单编号：32108426011044026172,CNY,0.0,1.0,out,,,,
50,,,26322000000641793256,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-26 10:39:13,1090505010000000000,,*移动通信设备*智能手机,Wildfire E5,台,-200,315.47316,-63094.63,0%,0.0,-63094.63,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：26322000000551182006 红字发票信息确认单编号：32108426011049622977,CNY,0.0,1.0,out,,,,
51,,,26322000000641793256,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-26 10:39:13,1090505010000000000,,*移动通信设备*智能手机,Wildfire E5,台,-400,278.1108,-111244.32,0%,0.0,-111244.32,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：26322000000551182006 红字发票信息确认单编号：32108426011049622977,CNY,0.0,1.0,out,,,,
52,,,26322000000641792476,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-26 10:38:33,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Elite,台,-612,608.8941,-372643.19,0%,0.0,-372643.19,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：26322000000317174191 红字发票信息确认单编号：32108426011049622898,CNY,0.0,1.0,out,,,,
